,Site,TempOut,OutHum,DewPt,WindSpeed,WindRun,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,P_GEN,Temp_Pressure_ratio,Humidity_Radiation_ratio
355,YMCA,15.3,83.0,12.5,0,0.0,15.3,15.3,15.3,759.4,0.0,0.0,88.0,3.78,0.181,0.02014748485646563,0.9431818181818182
356,YMCA,17.1,75.0,12.6,0,0.0,17.1,17.1,17.1,759.6,0.0,0.0,224.0,9.63,0.14,0.022511848341232227,0.33482142857142855
357,YMCA,18.3,67.0,12.0,0,0.0,18.3,18.2,18.2,759.6,0.0,0.0,349.0,15.01,0.36,0.024091627172195894,0.19197707736389685
358,YMCA,19.3,65.0,12.5,1,0.5,19.3,19.2,19.2,759.7,0.0,0.0,524.0,22.53,0.25,0.025404765038831118,0.12404580152671756
359,YMCA,20.6,60.0,12.6,0,0.0,20.6,20.3,20.3,759.8,0.0,0.0,600.0,25.8,0.345,0.02711239799947355,0.1
360,YMCA,21.4,52.0,11.1,0,0.0,21.4,20.6,20.6,759.8,0.0,0.0,674.0,28.99,0.338,0.028165306659647275,0.0771513353115727
361,YMCA,22.1,49.0,10.8,1,0.5,22.1,21.4,21.4,759.8,0.0,0.0,690.0,29.67,0.359,0.02908660173729929,0.07101449275362319
362,YMCA,21.8,48.0,10.3,1,0.5,21.8,20.9,20.9,759.8,0.0,0.0,826.0,35.52,0.347,0.028691760989734142,0.05811138014527845
363,YMCA,22.6,48.0,11.0,2,1.0,22.6,22.1,22.1,759.8,0.0,0.0,864.0,37.16,0.09,0.029744669649907875,0.05555555555555555
364,YMCA,22.4,46.0,10.2,2,1.0,22.4,21.7,21.7,759.6,0.0,0.0,740.0,31.82,0.069,0.02948920484465508,0.062162162162162166
365,YMCA,22.6,55.0,13.1,1,0.5,22.6,22.4,22.4,759.7,0.0,0.0,565.0,24.3,0.297,0.029748584967750426,0.09734513274336283
366,YMCA,23.8,50.0,12.8,1,0.5,23.8,23.9,23.9,759.8,0.0,0.0,888.0,38.19,0.235,0.03132403264016847,0.05630630630630631
367,YMCA,23.6,50.0,12.5,1,0.5,23.6,23.5,23.5,759.9,0.0,0.0,844.0,36.3,0.252,0.031056717989209108,0.05924170616113744
368,YMCA,24.2,49.0,12.8,1,0.5,24.2,24.2,24.2,759.9,0.0,0.0,891.0,38.32,0.226,0.03184629556520595,0.05499438832772166
369,YMCA,23.8,50.0,12.7,2,1.0,23.8,23.8,23.8,760.0,0.0,0.0,871.0,37.46,0.183,0.031315789473684214,0.0574052812858783
370,YMCA,24.0,49.0,12.6,1,0.5,24.0,24.0,24.0,759.9,0.0,0.0,767.0,32.99,0.073,0.03158310303987367,0.06388526727509779
371,YMCA,22.4,52.0,12.0,2,1.0,22.4,22.1,22.1,760.0,0.0,0.0,255.0,10.97,0.079,0.029473684210526315,0.20392156862745098
372,YMCA,22.8,45.0,10.3,3,1.5,22.8,22.3,22.3,759.9,0.0,0.0,575.0,24.73,0.032,0.030003947887879984,0.0782608695652174
373,YMCA,22.8,43.0,9.6,3,1.5,22.8,22.3,22.3,759.9,0.0,0.0,600.0,25.8,0.018,0.030003947887879984,0.07166666666666667
374,YMCA,23.3,45.0,10.7,2,1.0,23.3,22.9,22.9,759.8,0.0,0.0,562.0,24.17,0.015,0.030665964727559888,0.0800711743772242
375,YMCA,22.9,40.0,8.6,2,1.0,22.9,22.3,22.3,759.9,0.0,0.0,579.0,24.9,0.01,0.030135544150546124,0.0690846286701209
376,YMCA,22.3,44.0,9.4,3,1.5,22.3,21.5,21.5,760.0,0.0,0.0,478.0,20.56,0.009,0.029342105263157895,0.09205020920502092
377,YMCA,22.0,41.0,8.1,3,1.5,22.0,20.9,20.9,760.1,0.0,0.0,374.0,16.08,0.021,0.02894356005788712,0.10962566844919786
378,YMCA,21.1,43.0,8.0,2,1.0,21.1,19.8,19.8,760.2,0.0,0.0,183.0,7.87,0.003,0.027755853722704553,0.23497267759562843
379,YMCA,20.2,49.0,9.1,1,0.5,20.2,19.4,19.4,760.2,0.0,0.0,96.0,4.13,0.001,0.026571954748750327,0.5104166666666666
380,YMCA,10.7,87.0,8.6,0,0.0,10.7,10.8,10.8,761.0,0.0,0.0,16.0,0.69,0.007,0.014060446780551905,5.4375
381,YMCA,11.6,87.0,9.5,0,0.0,11.6,11.6,11.6,761.3,0.0,0.0,34.0,1.46,0.04,0.015237094443714698,2.5588235294117645
382,YMCA,12.3,86.0,10.1,0,0.0,12.3,12.3,12.3,761.3,0.0,0.0,67.0,2.88,0.035,0.016156574280835414,1.2835820895522387
383,YMCA,14.2,79.0,10.6,0,0.0,14.2,14.1,14.1,761.4,0.0,0.0,94.0,4.04,0.029,0.01864985552928815,0.8404255319148937
384,YMCA,14.9,76.0,10.7,0,0.0,14.9,14.7,14.7,761.4,0.0,0.0,103.0,4.43,0.038,0.0195692146046756,0.7378640776699029
385,YMCA,15.4,75.0,11.0,0,0.0,15.4,15.2,15.2,761.2,0.0,0.0,119.0,5.12,0.065,0.02023121387283237,0.6302521008403361
386,YMCA,15.9,74.0,11.3,2,1.0,15.9,15.7,15.7,761.0,0.0,0.0,158.0,6.79,0.28,0.020893561103810777,0.46835443037974683
387,YMCA,17.6,69.0,11.8,1,0.5,17.6,17.4,17.4,761.0,0.0,0.0,423.0,18.19,0.246,0.023127463863337715,0.16312056737588654
388,YMCA,18.8,63.0,11.6,1,0.5,18.8,18.6,18.6,761.0,0.0,0.0,472.0,20.3,0.314,0.024704336399474378,0.13347457627118645
389,YMCA,19.4,57.0,10.7,0,0.0,19.4,19.1,19.1,760.8,0.0,0.0,381.0,16.39,0.347,0.025499474237644586,0.14960629921259844
390,YMCA,20.6,57.0,11.8,0,0.0,20.6,20.1,20.1,760.6,0.0,0.0,615.0,26.45,0.333,0.027083881146463318,0.09268292682926829
391,YMCA,21.5,51.0,10.9,0,0.0,21.5,20.7,20.7,760.6,0.0,0.0,780.0,33.54,0.171,0.028267157507231133,0.06538461538461539
392,YMCA,21.8,49.0,10.6,0,0.0,21.8,21.1,21.1,760.5,0.0,0.0,479.0,20.6,0.114,0.02866535174227482,0.1022964509394572
