,Power
307,3472.0
10830,5632.0
9385,10016.0
11798,64.0
15590,0.0
11156,7168.0
127,336.0
15631,816.0
5112,9360.0
4220,0.0
2402,0.0
10165,1728.0
15866,1376.0
15316,0.0
3081,0.0
8109,0.0
4444,8544.0
2750,0.0
13477,0.0
1236,32.0
7350,0.0
3810,2048.0
1921,0.0
6352,3920.0
6217,10128.0
3220,0.0
518,0.0
7848,9984.0
17502,3392.0
9470,528.0
7987,7392.0
11711,0.0
1611,3392.0
16785,1040.0
12410,8480.0
15771,4896.0
4113,4432.0
8896,3616.0
6570,0.0
9058,4816.0
8051,4080.0
7113,0.0
9849,0.0
10948,0.0
15392,3248.0
16288,64.0
3543,0.0
11442,4944.0
5331,0.0
9051,8912.0
7561,5568.0
2100,64.0
10088,0.0
6304,4480.0
15320,0.0
14343,0.0
2686,0.0
13306,0.0
2184,9296.0
13362,5328.0
5660,0.0
17053,0.0
6723,0.0
2083,312.0
9839,0.0
13014,0.0
15972,0.0
9606,0.0
7963,0.0
891,7640.0
10089,0.0
16971,2400.0
12896,2016.0
13484,0.0
12208,672.0
15273,0.0
13801,8960.0
14447,0.0
7846,9872.0
8696,0.0
9327,2384.0
16215,0.0
684,0.0
12148,0.0
14331,1536.0
7680,0.0
748,8728.0
13920,0.0
6785,3744.0
4322,0.0
17189,0.0
10289,4416.0
12930,1216.0
16471,0.0
7619,3712.0
17448,7728.0
11767,0.0
1829,0.0
14314,0.0
4867,7728.0
16844,0.0
15729,848.0
9908,7584.0
15789,0.0
1996,1728.0
10854,0.0
17495,3264.0
3164,0.0
1190,0.0
15928,0.0
10079,0.0
14584,0.0
13198,0.0
4791,16.0
15084,0.0
14248,0.0
10530,5824.0
401,584.0
14946,3824.0
13851,5152.0
10474,0.0
2090,1280.0
1042,912.0
2034,344.0
15386,8688.0
14109,0.0
14652,0.0
3107,2304.0
1653,1128.0
6452,3248.0
6280,16.0
3927,0.0
12051,0.0
10786,3616.0
7128,9216.0
8972,0.0
11044,0.0
13869,0.0
6566,304.0
8989,400.0
3723,2096.0
12401,2864.0
888,5280.0
13475,1056.0
4833,6784.0
4497,6752.0
6258,6992.0
2653,0.0
14311,0.0
8670,7056.0
12731,0.0
13992,1968.0
4107,6240.0
3641,0.0
15461,0.0
6046,0.0
10785,3376.0
14504,0.0
11252,3856.0
16357,0.0
7523,3648.0
2330,1424.0
10288,2704.0
2088,2904.0
7549,480.0
5210,8544.0
3008,5768.0
15940,0.0
9431,9408.0
11716,0.0
17354,7008.0
17176,0.0
5983,6032.0
4400,2000.0
5892,1392.0
787,1184.0
17212,512.0
5080,0.0
17546,944.0
6707,1792.0
2999,2464.0
17128,0.0
10672,1984.0
5924,6304.0
841,424.0
10206,4512.0
12988,7088.0
10686,1056.0
2498,0.0
5386,0.0
13617,1248.0
10918,6720.0
11139,0.0
2685,0.0
6040,0.0
6812,0.0
4761,0.0
7791,2784.0
6887,8608.0
1656,592.0
6603,8448.0
8848,3648.0
8562,2880.0
17263,624.0
840,448.0
10373,0.0
3149,960.0
12383,0.0
14518,1136.0
14511,0.0
2684,0.0
12288,0.0
9419,0.0
5694,5408.0
9363,0.0
12181,288.0
15428,4480.0
12279,0.0
10502,528.0
2486,0.0
16209,576.0
14026,0.0
16311,0.0
6335,0.0
12918,0.0
11551,4352.0
7069,352.0
9172,0.0
14185,8176.0
1018,0.0
3621,2224.0
13451,0.0
14763,8528.0
169,6616.0
4160,3904.0
10481,4144.0
14029,0.0
14994,3696.0
4350,960.0
11516,0.0
11775,176.0
6849,2608.0
8485,1376.0
8702,656.0
2553,0.0
11368,0.0
1963,0.0
15315,0.0
14541,0.0
1020,0.0
11948,0.0
3486,5968.0
12828,0.0
6984,7840.0
17225,0.0
16408,0.0
3745,0.0
13147,0.0
371,248.0
10692,2432.0
15110,0.0
15051,7728.0
3537,480.0
11616,0.0
2765,5488.0
1811,0.0
2118,0.0
2778,0.0
718,0.0
3746,0.0
14901,7088.0
6832,1776.0
5836,10112.0
13045,0.0
3824,1536.0
3186,5104.0
14304,0.0
8347,0.0
5097,0.0
1268,1472.0
9647,0.0
5005,32.0
6392,0.0
6769,0.0
12890,7744.0
14336,752.0
12298,0.0
5899,0.0
11286,0.0
2994,2248.0
10457,0.0
10310,736.0
3753,0.0
8408,0.0
13679,0.0
4844,0.0
14884,0.0
13269,8352.0
743,7688.0
3276,0.0
8222,1152.0
14091,1664.0
601,4312.0
4145,704.0
12292,0.0
1967,0.0
4838,192.0
15182,0.0
15345,1776.0
3459,0.0
5812,0.0
8506,0.0
13321,8720.0
13438,0.0
12161,3392.0
1378,360.0
10185,0.0
16747,0.0
9224,0.0
25,8536.0
14638,0.0
8742,0.0
9054,4528.0
5208,7168.0
7410,6496.0
12075,9392.0
4490,10112.0
4778,10112.0
12503,8928.0
8496,0.0
11327,0.0
14138,7056.0
15842,0.0
11931,9952.0
11773,0.0
5167,2032.0
5705,0.0
11850,0.0
4594,4192.0
170,1984.0
1856,1872.0
8789,0.0
17237,0.0
6420,736.0
16852,0.0
741,5528.0
6895,4928.0
5162,4432.0
9119,0.0
14464,48.0
4371,0.0
9523,1872.0
5984,6528.0
16053,144.0
6758,480.0
1524,136.0
12706,3504.0
3780,704.0
2521,10192.0
8802,5680.0
15785,0.0
17217,128.0
5228,0.0
14215,0.0
15265,0.0
2341,0.0
10466,0.0
17079,0.0
5115,9984.0
3496,0.0
13404,0.0
4355,2112.0
12278,32.0
11171,3360.0
13525,0.0
3600,0.0
16081,0.0
13706,3616.0
114,0.0
13026,1472.0
11324,0.0
12558,8400.0
12894,2592.0
257,568.0
4721,1072.0
561,1016.0
3335,1328.0
1291,0.0
231,0.0
1202,0.0
1723,0.0
14685,0.0
13007,0.0
6180,2592.0
11486,640.0
10610,0.0
770,0.0
10207,1328.0
2406,0.0
8752,1472.0
4503,0.0
9785,0.0
8023,0.0
11633,4368.0
9480,7968.0
740,2688.0
7278,9696.0
7015,0.0
17017,672.0
16004,5280.0
6404,1136.0
4117,400.0
11838,6528.0
10385,1120.0
1429,0.0
1294,0.0
7855,8528.0
6739,3360.0
5500,6176.0
15397,0.0
4235,0.0
16347,6912.0
3814,5600.0
6673,0.0
12694,9344.0
14209,0.0
63,0.0
12026,9744.0
16029,0.0
16264,0.0
14760,8880.0
16512,0.0
17434,0.0
8844,128.0
10070,800.0
12112,2160.0
267,8608.0
2158,0.0
2550,0.0
8370,2240.0
258,1768.0
5802,0.0
13290,0.0
10896,0.0
5993,0.0
5722,0.0
10411,0.0
4451,3408.0
15899,0.0
12936,6256.0
1659,1256.0
2664,2016.0
10541,9744.0
7860,3120.0
10757,0.0
11215,3280.0
5632,3440.0
14240,2432.0
13712,4656.0
15778,304.0
2510,0.0
4151,8608.0
14915,176.0
5282,0.0
12830,80.0
15627,1488.0
5837,9440.0
8394,0.0
4325,0.0
10700,0.0
4378,0.0
11876,1536.0
4200,6752.0
14131,5392.0
13800,8752.0
16877,704.0
14098,816.0
14848,944.0
5535,1488.0
2813,4784.0
944,1640.0
11620,0.0
9759,1952.0
8591,0.0
15882,0.0
12805,48.0
13822,0.0
11700,672.0
11663,0.0
2932,0.0
80,416.0
7345,0.0
2953,896.0
4687,5952.0
702,2640.0
7804,8272.0
16443,2384.0
13396,0.0
10704,0.0
14517,800.0
3623,2704.0
4073,0.0
361,8768.0
6184,16.0
348,0.0
2893,0.0
11721,0.0
2454,0.0
12494,144.0
9650,0.0
9817,4816.0
15365,0.0
2541,0.0
11092,0.0
8597,0.0
16909,0.0
1032,3600.0
13738,0.0
16647,0.0
2112,0.0
11933,9152.0
15178,0.0
9931,0.0
11323,0.0
6112,2784.0
14288,688.0
16541,5968.0
14781,0.0
3632,2144.0
4563,0.0
6260,9312.0
10865,2144.0
969,0.0
4970,2864.0
11359,7712.0
3787,0.0
116,256.0
17415,0.0
7369,10048.0
14930,0.0
11514,0.0
15100,7312.0
13470,7152.0
14478,704.0
10099,5728.0
5118,9808.0
4468,0.0
5251,2752.0
1652,1200.0
17139,0.0
12454,6192.0
5745,608.0
5928,6656.0
6940,8816.0
9843,0.0
6033,1168.0
4361,0.0
4182,0.0
16592,1984.0
11329,0.0
48,0.0
13049,0.0
6879,2496.0
1333,0.0
15169,0.0
14007,0.0
9532,1968.0
17339,0.0
9789,0.0
7587,0.0
2011,0.0
7204,0.0
5918,768.0
2415,0.0
5047,0.0
5200,464.0
3733,176.0
7834,0.0
11228,0.0
929,48.0
15344,2016.0
12275,416.0
11474,0.0
725,0.0
9099,7392.0
3015,0.0
803,208.0
5184,0.0
14731,0.0
6745,1328.0
2512,712.0
7925,0.0
825,0.0
7282,5568.0
11613,0.0
534,0.0
13561,4800.0
15459,0.0
11082,0.0
13352,0.0
17036,0.0
15090,3568.0
14949,7008.0
12164,6896.0
3013,216.0
12284,0.0
8329,8752.0
12270,3424.0
3686,64.0
1622,0.0
2659,1208.0
14104,0.0
2652,0.0
3367,0.0
1449,0.0
2219,0.0
13220,7840.0
17445,5408.0
6072,4896.0
10298,8000.0
2698,0.0
6564,1536.0
11944,0.0
5007,752.0
2042,1000.0
5137,0.0
6399,512.0
7283,4208.0
14882,0.0
259,3312.0
5992,0.0
935,1512.0
15306,0.0
7653,7952.0
16281,0.0
8691,0.0
15530,8384.0
4479,1360.0
13120,2496.0
12902,0.0
6786,3584.0
6553,8240.0
4203,9296.0
17556,0.0
16806,0.0
3182,0.0
13538,0.0
15906,1104.0
15089,2048.0
3859,928.0
16233,0.0
1239,0.0
1037,7432.0
6028,1856.0
7300,0.0
4463,0.0
16170,0.0
11309,7072.0
13089,4384.0
7197,0.0
3406,0.0
12443,0.0
14797,0.0
2363,0.0
12647,9936.0
11467,0.0
10122,0.0
17358,4112.0
4639,7424.0
5977,10096.0
16218,0.0
15450,0.0
11860,0.0
7032,9680.0
1470,952.0
14838,0.0
10683,576.0
462,704.0
9534,784.0
9403,0.0
16499,48.0
1642,0.0
1251,0.0
6826,0.0
1111,0.0
9217,0.0
11073,288.0
3987,0.0
14370,672.0
142,0.0
2365,0.0
3907,3712.0
13814,0.0
14180,6608.0
12327,0.0
15578,2496.0
4815,1840.0
1015,0.0
13503,704.0
16199,4288.0
8185,7904.0
17070,3216.0
10244,6560.0
7267,8192.0
6793,5248.0
14340,0.0
9692,0.0
11665,0.0
5513,0.0
11475,0.0
1918,0.0
14938,0.0
6387,0.0
8263,0.0
7052,0.0
4700,0.0
5717,0.0
11118,4048.0
2169,0.0
5893,1072.0
11447,8928.0
16001,288.0
16305,1232.0
1893,4512.0
15700,0.0
8452,0.0
9369,0.0
3722,2160.0
9414,0.0
5939,256.0
8071,0.0
6945,6096.0
10202,5712.0
17377,0.0
421,0.0
7157,0.0
9575,9312.0
107,0.0
5468,0.0
5982,9056.0
8002,5408.0
7020,112.0
9418,0.0
1121,32.0
7255,0.0
7968,0.0
17528,0.0
3019,0.0
3521,560.0
16529,400.0
13805,7648.0
9814,3680.0
16503,0.0
17481,0.0
11528,0.0
5820,16.0
2075,0.0
7503,1488.0
1752,1296.0
7624,64.0
457,1080.0
1617,1784.0
9347,4208.0
6198,0.0
810,0.0
12468,912.0
1158,0.0
5503,5888.0
2212,0.0
8184,8816.0
6870,0.0
9545,0.0
11409,4368.0
5148,0.0
7090,2672.0
5522,0.0
3591,0.0
3618,1040.0
12928,592.0
9467,0.0
15537,1600.0
13312,688.0
8187,5984.0
10287,976.0
6712,16.0
8773,1616.0
10012,6128.0
12349,0.0
13112,0.0
5461,624.0
5096,0.0
5696,4240.0
16216,0.0
17007,0.0
14156,0.0
16141,0.0
4273,0.0
2700,0.0
4542,9280.0
8038,8032.0
11954,0.0
5645,10048.0
7146,0.0
