,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
7814,14.2,96.0,13.5,3,759.8,0.25,84.0,3.61,0.0186891287180837
5595,13.2,89.0,11.4,1,757.6,0.0,15.0,0.65,0.0174234424498416
248,20.6,67.0,14.3,0,762.8,0.0,433.0,18.62,0.0270057682223387
2025,12.2,87.0,10.1,0,751.1,0.0,38.0,1.63,0.0162428438290507
7885,18.1,87.0,15.9,1,755.9,0.0,8.0,0.34,0.023944966265379
10692,13.7,83.0,10.8,0,763.9,0.0,45.0,1.94,0.0179342845922241
1027,25.2,49.0,13.7,1,757.8,0.0,713.0,30.66,0.0332541567695962
8618,18.4,77.0,14.3,0,758.0,0.0,0.0,0.0,0.0242744063324538
10427,18.6,73.0,13.7,0,763.9,0.0,1.0,0.04,0.0243487367456473
6103,21.8,62.0,14.2,0,759.8,0.0,367.0,15.78,0.0286917609897341
1470,16.1,92.0,14.8,1,751.7,0.0,166.0,7.14,0.0214181189304243
6115,15.7,90.0,14.0,2,760.0,0.0,45.0,1.94,0.0206578947368421
6947,16.1,77.0,12.0,0,764.7,0.0,0.0,0.0,0.0210540081077546
5407,15.8,90.0,14.2,3,764.0,0.0,0.0,0.0,0.0206806282722513
6840,15.6,74.0,11.0,0,763.0,0.0,0.0,0.0,0.0204456094364351
4237,19.6,57.0,10.9,1,760.1,0.0,107.0,4.6,0.0257860807788448
11525,20.2,60.0,12.2,1,765.5,0.0,55.0,2.37,0.0263879817112998
11764,19.2,64.0,12.2,2,766.2,0.0,65.0,2.8,0.0250587314017227
8847,19.1,69.0,13.3,2,752.5,0.0,0.0,0.0,0.0253820598006644
10211,16.1,89.0,14.2,3,757.1,0.0,67.0,2.88,0.0212653546427156
9342,12.8,83.0,10.0,3,752.9,0.0,0.0,0.0,0.017000929738345
3102,16.4,66.0,10.0,4,744.7,0.0,71.0,3.05,0.022022290855378
7144,14.8,85.0,12.3,0,757.3,0.0,62.0,2.67,0.0195431136933843
4750,23.8,66.0,17.1,3,756.7,0.0,436.0,18.75,0.0314523589269195
6738,19.4,60.0,11.4,1,765.7,0.0,173.0,7.44,0.0253362935875669
6131,15.4,90.0,13.8,5,752.9,0.0,22.0,0.95,0.0204542435914464
4036,20.4,73.0,15.4,0,763.5,0.0,122.0,5.25,0.0267190569744597
8058,22.6,67.0,16.2,3,762.8,0.0,749.0,32.21,0.029627687467226
602,18.5,59.0,10.3,3,756.7,0.0,678.0,29.16,0.0244482621910929
5303,21.8,77.0,17.6,0,758.9,0.0,69.0,2.97,0.028725787323758
4974,11.5,91.0,10.1,0,758.2,0.0,0.0,0.0,0.0151675019783698
5210,25.4,53.0,15.2,1,757.2,0.0,579.0,24.9,0.0335446381405176
5879,18.0,80.0,14.5,6,758.3,0.0,92.0,3.96,0.0237373071343795
3336,14.4,79.0,10.8,2,759.3,0.0,183.0,7.87,0.0189648360331884
10592,13.7,93.0,12.6,0,758.5,0.0,0.0,0.0,0.0180619644034278
2901,14.2,96.0,13.5,0,759.0,0.0,71.0,3.05,0.0187088274044795
6716,15.0,86.0,12.7,1,767.4,0.0,131.0,5.63,0.0195465207193119
11496,15.5,82.0,12.4,1,762.5,0.0,0.0,0.0,0.020327868852459
2339,21.3,71.0,15.8,0,760.0,0.0,204.0,8.77,0.0280263157894736
7640,19.8,61.0,12.1,3,758.5,0.0,132.0,5.68,0.0261041529334212
7540,19.1,76.0,14.8,1,749.7,0.0,51.0,2.19,0.0254768574096305
1243,26.6,62.0,18.7,1,757.4,0.0,728.0,31.31,0.0351201478743068
1954,13.8,66.0,7.6,2,753.2,0.0,295.0,12.69,0.0183218268720127
10035,19.1,76.0,14.7,2,753.2,0.0,440.0,18.92,0.0253584705257567
9875,10.7,81.0,7.5,2,758.0,0.0,45.0,1.94,0.0141160949868073
9320,18.1,67.0,11.9,5,752.5,0.0,139.0,5.98,0.0240531561461794
1613,19.9,84.0,17.2,2,751.8,0.0,558.0,24.0,0.0264698057994147
